"raw_relative_path","table_name","column_name","storage_type","reported_unit","semantic_role","missing_value_codes","quality_flag_meaning","example_values","inventory_state"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4437.nc","netcdf_root","DOXY_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4457.nc","netcdf_root","TIME","double","days since 1950-01-01T00:00:00Z","time","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4457.nc","netcdf_root","TIME_QC","byte","","quality_flag","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4457.nc","netcdf_root","LATITUDE","float","degrees_north","coordinate","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4457.nc","netcdf_root","LONGITUDE","float","degrees_east","coordinate","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4457.nc","netcdf_root","DEPH","float","meters","depth","-9999999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4457.nc","netcdf_root","TEMP","float","degreeC","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4457.nc","netcdf_root","TEMP_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4457.nc","netcdf_root","PSAL","float","1e-3","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4457.nc","netcdf_root","PSAL_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4457.nc","netcdf_root","CHLT","float","mg/m**3","chlorophyll_fluorescence","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4457.nc","netcdf_root","CHLT_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4457.nc","netcdf_root","DOXY","float","%","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4457.nc","netcdf_root","DOXY_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4477.nc","netcdf_root","TIME","double","days since 1950-01-01T00:00:00Z","time","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4477.nc","netcdf_root","TIME_QC","byte","","quality_flag","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4477.nc","netcdf_root","LATITUDE","float","degrees_north","coordinate","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4477.nc","netcdf_root","LONGITUDE","float","degrees_east","coordinate","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4477.nc","netcdf_root","DEPH","float","meters","depth","-9999999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4477.nc","netcdf_root","TEMP","float","degreeC","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4477.nc","netcdf_root","TEMP_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4477.nc","netcdf_root","PSAL","float","1e-3","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4477.nc","netcdf_root","PSAL_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4477.nc","netcdf_root","CHLT","float","mg/m**3","chlorophyll_fluorescence","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4477.nc","netcdf_root","CHLT_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4477.nc","netcdf_root","DOXY","float","%","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4477.nc","netcdf_root","DOXY_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4497.nc","netcdf_root","TIME","double","days since 1950-01-01T00:00:00Z","time","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4497.nc","netcdf_root","TIME_QC","byte","","quality_flag","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4497.nc","netcdf_root","LATITUDE","float","degrees_north","coordinate","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4497.nc","netcdf_root","LONGITUDE","float","degrees_east","coordinate","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4497.nc","netcdf_root","DEPH","float","meters","depth","-9999999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4497.nc","netcdf_root","TEMP","float","degreeC","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4497.nc","netcdf_root","TEMP_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4497.nc","netcdf_root","PSAL","float","1e-3","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4497.nc","netcdf_root","PSAL_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4497.nc","netcdf_root","CHLT","float","mg/m**3","chlorophyll_fluorescence","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4497.nc","netcdf_root","CHLT_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4497.nc","netcdf_root","DOXY","float","%","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4497.nc","netcdf_root","DOXY_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4517.nc","netcdf_root","TIME","double","days since 1950-01-01T00:00:00Z","time","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4517.nc","netcdf_root","TIME_QC","byte","","quality_flag","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4517.nc","netcdf_root","LATITUDE","float","degrees_north","coordinate","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4517.nc","netcdf_root","LONGITUDE","float","degrees_east","coordinate","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4517.nc","netcdf_root","DEPH","float","meters","depth","-9999999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4517.nc","netcdf_root","TEMP","float","degreeC","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4517.nc","netcdf_root","TEMP_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4517.nc","netcdf_root","PSAL","float","1e-3","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4517.nc","netcdf_root","PSAL_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4517.nc","netcdf_root","CHLT","float","mg/m**3","chlorophyll_fluorescence","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4517.nc","netcdf_root","CHLT_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4517.nc","netcdf_root","DOXY","float","%","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4517.nc","netcdf_root","DOXY_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4537.nc","netcdf_root","TIME","double","days since 1950-01-01T00:00:00Z","time","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4537.nc","netcdf_root","TIME_QC","byte","","quality_flag","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4537.nc","netcdf_root","LATITUDE","float","degrees_north","coordinate","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4537.nc","netcdf_root","LONGITUDE","float","degrees_east","coordinate","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4537.nc","netcdf_root","DEPH","float","meters","depth","-9999999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4537.nc","netcdf_root","TEMP","float","degreeC","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4537.nc","netcdf_root","TEMP_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4537.nc","netcdf_root","PSAL","float","1e-3","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4537.nc","netcdf_root","PSAL_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4537.nc","netcdf_root","CHLT","float","mg/m**3","chlorophyll_fluorescence","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4537.nc","netcdf_root","CHLT_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4537.nc","netcdf_root","DOXY","float","%","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4537.nc","netcdf_root","DOXY_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4557.nc","netcdf_root","TIME","double","days since 1950-01-01T00:00:00Z","time","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4557.nc","netcdf_root","TIME_QC","byte","","quality_flag","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4557.nc","netcdf_root","LATITUDE","float","degrees_north","coordinate","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4557.nc","netcdf_root","LONGITUDE","float","degrees_east","coordinate","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4557.nc","netcdf_root","DEPH","float","meters","depth","-9999999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4557.nc","netcdf_root","TEMP","float","degreeC","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4557.nc","netcdf_root","TEMP_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4557.nc","netcdf_root","PSAL","float","1e-3","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4557.nc","netcdf_root","PSAL_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4557.nc","netcdf_root","CHLT","float","mg/m**3","chlorophyll_fluorescence","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4557.nc","netcdf_root","CHLT_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4557.nc","netcdf_root","DOXY","float","%","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR4557.nc","netcdf_root","DOXY_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4577.nc","netcdf_root","TIME","double","days since 1950-01-01T00:00:00Z","time","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4577.nc","netcdf_root","TIME_QC","byte","","quality_flag","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4577.nc","netcdf_root","LATITUDE","float","degrees_north","coordinate","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4577.nc","netcdf_root","LONGITUDE","float","degrees_east","coordinate","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4577.nc","netcdf_root","DEPH","float","meters","depth","-9999999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4577.nc","netcdf_root","TEMP","float","degreeC","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4577.nc","netcdf_root","TEMP_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4577.nc","netcdf_root","PSAL","float","1e-3","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4577.nc","netcdf_root","PSAL_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4577.nc","netcdf_root","CHLT","float","mg/m**3","chlorophyll_fluorescence","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4577.nc","netcdf_root","CHLT_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4577.nc","netcdf_root","DOXY","float","%","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4577.nc","netcdf_root","DOXY_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4597.nc","netcdf_root","TIME","double","days since 1950-01-01T00:00:00Z","time","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4597.nc","netcdf_root","TIME_QC","byte","","quality_flag","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4597.nc","netcdf_root","LATITUDE","float","degrees_north","coordinate","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4597.nc","netcdf_root","LONGITUDE","float","degrees_east","coordinate","","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4597.nc","netcdf_root","DEPH","float","meters","depth","-9999999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4597.nc","netcdf_root","TEMP","float","degreeC","measurement_value","-999.f","","","present"
"stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR4597.nc","netcdf_root","TEMP_QC","byte","","quality_flag","-128b","no_qc_performed good_data probably_good_data bad_data_that_are_potentially_correctable bad_data missing_value","","present"
